anime_id,name,genre,type,episodes,rating,members,genre_list,primary_genre,crunchyroll,image_url
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']",Mystery,https://www.crunchyroll.com/search?q=Death+Note,https://cdn.myanimelist.net/images/anime/1079/138100l.jpg
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",Action,https://www.crunchyroll.com/search?q=Shingeki+no+Kyojin,https://cdn.myanimelist.net/images/anime/10/47347l.jpg
11757,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,7.83,893100,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",Action,https://www.crunchyroll.com/search?q=Sword+Art+Online,https://cdn.myanimelist.net/images/anime/11/39717l.jpg
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Action,https://www.crunchyroll.com/search?q=Fullmetal+Alchemist:+Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745l.jpg
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Angel+Beats!,https://cdn.myanimelist.net/images/anime/1244/111115l.jpg
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",Action,https://www.crunchyroll.com/search?q=Code+Geass:+Hangyaku+no+Lelouch,https://cdn.myanimelist.net/images/anime/1032/135088l.jpg
20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,7.81,683297,"['Action', 'Comedy', 'Martial Arts', 'Shounen', 'Super Power']",Action,https://www.crunchyroll.com/search?q=Naruto,https://cdn.myanimelist.net/images/anime/1141/142503l.jpg
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,"['Sci-Fi', 'Thriller']",Sci-Fi,https://www.crunchyroll.com/search?q=Steins;Gate,https://cdn.myanimelist.net/images/anime/1935/127974l.jpg
10620,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,8.07,657190,"['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']",Action,https://www.crunchyroll.com/search?q=Mirai+Nikki+(TV),https://cdn.myanimelist.net/images/anime/13/33465l.jpg
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,"['Comedy', 'Romance', 'School', 'Slice of Life']",Comedy,https://www.crunchyroll.com/search?q=Toradora!,https://cdn.myanimelist.net/images/anime/13/22128l.jpg
269,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",TV,366,7.95,624055,"['Action', 'Comedy', 'Shounen', 'Super Power', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Bleach,https://cdn.myanimelist.net/images/anime/1541/147774l.jpg
226,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13,7.85,623511,"['Action', 'Drama', 'Horror', 'Psychological', 'Romance', 'Seinen', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Elfen+Lied,https://cdn.myanimelist.net/images/anime/1780/121555l.jpg
22319,Tokyo Ghoul,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,8.07,618056,"['Action', 'Drama', 'Horror', 'Mystery', 'Psychological', 'Seinen', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Tokyo+Ghoul,https://cdn.myanimelist.net/images/anime/1498/134443l.jpg
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']",Adventure,https://www.crunchyroll.com/search?q=No+Game+No+Life,https://cdn.myanimelist.net/images/anime/1074/111944l.jpg
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Action,https://www.crunchyroll.com/search?q=Fullmetal+Alchemist,https://cdn.myanimelist.net/images/anime/10/75815l.jpg
6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",Action,https://www.crunchyroll.com/search?q=Fairy+Tail,https://cdn.myanimelist.net/images/anime/5/18179l.jpg
9919,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,7.92,583823,"['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Ao+no+Exorcist,https://cdn.myanimelist.net/images/anime/10/75195l.jpg
3588,Soul Eater,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",TV,51,8.08,580184,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Soul+Eater,https://cdn.myanimelist.net/images/anime/1071/149486l.jpg
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",Action,https://www.crunchyroll.com/search?q=Code+Geass:+Hangyaku+no+Lelouch+R2,https://cdn.myanimelist.net/images/anime/1088/135089l.jpg
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']",Comedy,https://www.crunchyroll.com/search?q=Clannad,https://cdn.myanimelist.net/images/anime/1804/95033l.jpg
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",Action,https://www.crunchyroll.com/search?q=Tengen+Toppa+Gurren+Lagann,https://cdn.myanimelist.net/images/anime/4/5123l.jpg
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431,"['Action', 'Mystery', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Durarara!!,https://cdn.myanimelist.net/images/anime/10/71772l.jpg
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,"['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=One+Punch+Man,https://cdn.myanimelist.net/images/anime/12/76049l.jpg
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,24,7.35,537892,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",Action,https://www.crunchyroll.com/search?q=Sword+Art+Online+II,https://cdn.myanimelist.net/images/anime/1223/121999l.jpg
8074,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",TV,12,7.46,535892,"['Action', 'Ecchi', 'Horror', 'Supernatural']",Action,https://www.crunchyroll.com/search?q=Highschool+of+the+Dead,https://cdn.myanimelist.net/images/anime/11/78311l.jpg
11111,Another,"Horror, Mystery, School, Supernatural, Thriller",TV,12,7.88,534657,"['Horror', 'Mystery', 'School', 'Supernatural', 'Thriller']",Horror,https://www.crunchyroll.com/search?q=Another,https://cdn.myanimelist.net/images/anime/4/75509l.jpg
