anime_id,name,genre,type,episodes,rating,members,score
33662,Taka no Tsume 8: Yoshida-kun no X-Files,"Comedy, Parody",Movie,1,10.0,13,8.763905732961526
8129,Kuragehime,"Comedy, Josei, Slice of Life",TV,11,8.24,108053,8.672371971448134
22995,Shisei Sasshin,Slice of Life,Movie,1,8.67,51,8.897624371858143
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,8.96801418734576
23185,Chamebou Kuukijuu no Maki,Comedy,Movie,1,8.4,66,8.720469261939098
27957,Steins;Gate: Soumei Eichi no Cognitive Computing,Comedy,ONA,4,7.45,34426,8.632159641922227
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,8.629915361012841
3841,Chi&#039;s Sweet Home,"Comedy, Slice of Life",TV,104,7.83,36307,8.922479338164653
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,8.69071880585704
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Comedy,Special,1,7.78,51688,8.92030002719012
